relationship_type,from_id,to_id,to_name,to_mile,mile_distance,source_id
source_match,access-fletchers-cove-3-1,nps-fletchers-cove-3-1,Fletchers Cove,3.1,0.0,nps_recreation_guide
source_match,access-fort-frederick-112-4,nps-fort-frederick-state-park-112-4,Fort Frederick State Park,112.4,0.0,nps_recreation_guide
source_match,access-four-locks-108-8,nps-four-locks-109-0,Four Locks,109.0,0.2,nps_recreation_guide
source_match,access-georgetown-0-0,lock-3,Lock 3 (Georgetown),0.4,0.0,nps_recreation_guide
source_match,access-great-falls-14-3,nps-great-falls-14-3,Great Falls,14.3,0.0,nps_recreation_guide
source_match,access-lander-50-9,lock-29,Lock 29 (Lander),50.8,0.1,nps_recreation_guide
source_match,access-licking-creek-116-3,nps-licking-creek-116-0,Licking Creek,116.0,0.3,nps_recreation_guide
source_match,access-lock-10-8-8,lock-10,Lock 10 (Seven Locks),8.8,0.0,nps_recreation_guide
source_match,access-lock-38-shepherdstown-72-8,lock-38,Lock 38 (Shepherdstown),72.7,0.1,nps_recreation_guide
source_match,access-lock-44-99-3,lock-44,Lock 44,99.2,0.1,nps_recreation_guide
source_match,access-lock-6-5-4,lock-6,Lock 6,5.4,0.0,nps_recreation_guide
source_match,access-lock-7-7-0,lock-7,Lock 7 (Glen Echo),7.0,0.0,nps_recreation_guide
source_match,access-lock-8-8-3,lock-8,Lock 8 (Seven Locks),8.3,0.0,nps_recreation_guide
source_match,access-marsden-tract-11-4,nps-marsden-tract-11-5,Marsden Tract,11.5,0.1,nps_recreation_guide
source_match,access-mccoys-ferry-110-4,nps-mccoys-ferry-110-4,McCoys Ferry,110.4,0.0,nps_recreation_guide
source_match,access-mcmahons-mill-88-1,nps-mcmahons-mill-88-1,McMahons Mill,88.1,0.0,nps_recreation_guide
source_match,access-monocacy-aqueduct-42-1,nps-monocacy-aqueduct-42-2,Monocacy Aqueduct,42.2,0.1,nps_recreation_guide
source_match,access-nolands-ferry-44-6,nps-nolands-ferry-44-6,Nolands Ferry,44.6,0.0,nps_recreation_guide
source_match,access-north-branch-175-6,lock-75,Lock 75 (North Branch),175.5,0.1,nps_recreation_guide
source_match,access-old-angler-s-inn-12-2,nps-anglers-access-12-2,Anglers Access,12.2,0.0,nps_recreation_guide
source_match,access-oldtown-lock-70-166-7,nps-oldtown-battie-mixon-166-7,Oldtown Battie Mixon,166.7,0.0,nps_recreation_guide
source_match,access-paw-paw-tunnel-156-2,nps-paw-paw-156-1,Paw Paw,156.1,0.1,nps_recreation_guide
source_match,access-pennyfield-lock-19-6,lock-22,Lock 22 (Pennyfield Lock),19.6,0.0,nps_recreation_guide
source_match,access-point-of-rocks-48-2,nps-point-of-rocks-48-2,Point of Rocks,48.2,0.0,nps_recreation_guide
source_match,access-rileys-lock-22-8,nps-seneca-rileys-lock-22-8,Seneca (Rileys Lock),22.8,0.0,nps_recreation_guide
source_match,access-snyders-landing-76-7,nps-snyders-landing-76-6,Snyders Landing,76.6,0.1,nps_recreation_guide
source_match,access-spring-gap-173-3,nps-spring-gap-173-3,Spring Gap,173.3,0.0,nps_recreation_guide
source_match,access-swains-lock-16-6,lock-21,Lock 21 (Swains Lock),16.7,0.1,nps_recreation_guide
source_match,access-sycamore-island-6-4,nps-sycamore-island-6-5,Sycamore Island,6.5,0.1,nps_recreation_guide
source_match,access-sycamore-landing-27-2,nps-sycamore-landing-27-2,Sycamore Landing,27.2,0.0,nps_recreation_guide
source_match,access-taylors-landing-81-0,nps-taylors-landing-80-9,Taylors Landing,80.9,0.1,nps_recreation_guide
source_match,access-town-creek-aqueduct-162-3,nps-town-creek-162-1,Town Creek,162.1,0.2,nps_recreation_guide
source_match,access-violettes-lock-22-1,lock-23,Lock 23 (Violettes Lock),22.1,0.0,nps_recreation_guide
source_match,access-whites-ferry-35-5,nps-whites-ferry-35-5,Whites Ferry,35.5,0.0,nps_recreation_guide
source_match,access-williamsport-visitor-center-99-8,nps-cushwa-basin-williamsport-99-8,Cushwa Basin (Williamsport),99.8,0.0,nps_recreation_guide
